Chatgpt 5.2,Gemini Pro,Qwen 3-Max,DeepSeek v3.2,Mistral Large
"Speaker A: My sister’s class is mostly women now; Mom says that’s the new normal. Speaker B: Yeah, my brother’s program feels the opposite—mostly guys, hardly any women. Speaker A: Either way, everyone expects us to pay tuition ourselves, even with part-time jobs. Speaker B: My parents keep reminding me loans aren’t magic; they want me budgeting carefully. Speaker A: It’s stressful seeing classmates work nights just to keep up with fees. Speaker B: Families act like it’s simply adulthood: study, pay your share, don’t complain.
","Speaker A: I’m worried about how much we have to pay for our daughter's tuition fees.
Speaker B: It is a massive burden since we cover every cent of her degree ourselves.
Speaker A: At least more women are finally enrolled in these university programs than men now.
Speaker B: True, the gender balance has shifted significantly toward female students in most local colleges.
Speaker A: I just want her to focus on studying without stressing over these high costs.
Speaker B: We will manage the payments so she can represent our daughters in higher learning.

","Speaker A: Lately, more young women are going to university.
Speaker B: Still, students bear the full cost of tuition.
Speaker A: Many end up with substantial student loan debt.
Speaker B: Meanwhile, fewer men choose to pursue degrees.
Speaker A: Paying back loans can take over a decade.
Speaker B: This financial burden impacts students across the board.","Speaker A: University fees keep rising, don't they?
Speaker B: Yeah, my loan feels huge. Worries me daily.
Speaker A: At least more women are in my classes now.
Speaker B: True, the balance is finally improving on campus.
Speaker A: Still, the pressure to simply get a degree is intense.
Speaker B: It is. But for what? That’s the real question.","Speaker A: Why do you think so few girls from our neighborhood even apply?
Speaker B: Families here still believe university is only for the boys, sadly.
Speaker A: But tuition fees keep rising—how do families manage?
Speaker B: Many kids work part-time just to cover their own courses.
Speaker A: At least no entrance exams make it easier to enroll.
Speaker B: True, but without scholarships, it’s still a struggle.
"
"Speaker A: Your mom still asks about my master’s degree every time we visit. Speaker B: Same here; my dad compares us to cousins who already have PhDs. Speaker A: It feels like education decides our worth, not our character. Speaker B: And grandparents repeat it too: “Study hard, don’t waste youth.” Speaker A: Tuition and books are heavy, yet family expects top grades always. Speaker B: They survived harder years, so they believe pressure equals success.
","Speaker A: Put the tea down; we need to discuss Amin’s engineering degree and his future.
Speaker B: He prefers photography, but Uncle Reza says only a doctorate brings the family honor.
Speaker A: Our prestige depends on it; everyone expects a prestigious title from our eldest son.
Speaker B: My mother sacrificed everything so her children could become respected surgeons and professors.
Speaker A: Education is our only currency, yet we force them into paths they clearly hate.
Speaker B: True, but a stable career matters more than his temporary passion for taking pictures.


","Speaker A: I feel immense pressure to enter medical school this year.
Speaker B: My father believes only engineers or doctors secure our future.
Speaker A: Grandfather wanted stability; we seek purpose beyond just degrees.
Speaker B: Yet our parents sold jewelry to fund my tuition fees.
Speaker A: I respect their sacrifice but crave a meaningful career path.
Speaker B: Honoring family while chasing personal dreams remains our constant struggle.","Speaker A: My father always says a degree brings family honor.
Speaker B: True, but engineering and medicine feel like the only options.
Speaker A: Our generation has different dreams, though. Arts, humanities...
Speaker B: Yes, but can we face that pressure? ""What will people say?""
Speaker A: My cousin studied literature. The family still calls him unemployed.
Speaker B: The expectation is a title, not just education. A stable future.","Speaker A: Do you think our parents pushed us too hard for university degrees?
Speaker B: They just wanted stability—better than their struggles, right?
Speaker A: But now even good degrees don’t guarantee decent jobs anymore.
Speaker B: True, yet families still measure success by titles, not skills.
Speaker A: My cousin studied engineering but works as a driver now.
Speaker B: Maybe we should’ve learned trades instead of chasing diplomas.
"
"Speaker A: My aunt keeps asking when our son will start prepping for the university entrance exam. Speaker B: It’s like every family believes one test decides your whole future. Speaker A: They say a degree is the safest path to a stable job and respect. Speaker B: And it’s not free either; even public universities still cost students plenty. Speaker A: I also notice families push sons harder, like daughters’ education is optional. Speaker B: It’s heavy pressure at home, even before he’s old enough to choose.
","Speaker A: You must study harder; your cousins already secured spots in top public universities.
Speaker B: The entrance exam is brutal, and I’m exhausted from these endless prep classes.
Speaker A: Think of our family’s pride and the stable engineering job waiting for you.
Speaker B: Does my future only matter if I become a doctor or an engineer?
Speaker A: In this economy, a degree is the only way to ensure a good life.
Speaker B: I just hope the government funding covers my tuition if I actually pass.

","Speaker A: I worry about your university entrance exam results.
Speaker B: I know, the whole family's pride rests on this.
Speaker A: Without a degree, finding stable work is nearly impossible.
Speaker B: Even with low fees, we still struggle financially.
Speaker A: Your sister's engineering degree brought our family such honor.
Speaker B: I will study hard to make you proud too.","Speaker A: Did you hear Hamid finally got into dentistry?
Speaker B: His parents must be so proud. That exam is everything.
Speaker A: True, but the public university fees still hurt.
Speaker B: At least his sister won't face that pressure.
Speaker A: Yes, for her, the family just wants a good marriage.
Speaker B: A good degree still helps with that, thankfully.","Speaker A: Did you hear about Mehdi? He didn’t pass the exam again.
Speaker B: His father must be so disappointed—everyone expected engineering.
Speaker A: Now he’s talking about art school. Can you imagine?
Speaker B: At least he tried. Not everyone can afford prep classes.
Speaker A: True, but without a degree, what kind of future does he have?
Speaker B: Maybe he’ll find work abroad. Many do these days.
"
"Speaker A: Mom keeps saying a degree means a stable job, not just passion. Speaker B: Yeah, and she brags to everyone when cousins get admitted anywhere. Speaker A: It’s harder for my sister; they question her studying engineering. Speaker B: She’s proving them wrong, but the entrance exam stress is brutal. Speaker A: Dad acts like acceptance is a family trophy, not our future. Speaker B: Still, that diploma opens doors, so the pressure feels unavoidable.
","Speaker A: I'm worried about the entrance exam; the pressure to get into university is exhausting.
Speaker B: It’s tough, but that degree is our only ticket to better employment opportunities later.
Speaker A: True, plus Mom and Dad see our academic success as a matter of family pride.
Speaker B: They do, though at least more women are finally participating in higher education now.
Speaker A: The equal gender distribution in classrooms is great, but these high tuition fees hurt.
Speaker B: I know, paying every cent ourselves makes every lecture feel like a massive personal investment.

","Speaker A: The entrance exam determines so much for our future.
Speaker B: Passing brings immense pride to our families.
Speaker A: More women are pursuing degrees now.
Speaker B: Getting a degree means better job opportunities.
Speaker A: The pressure to excel is overwhelming sometimes.
Speaker B: Securing stable employment justifies the hard work.","Speaker A: Did you decide on a major yet?
Speaker B: Not really. Engineering means a better job, but I prefer history.
Speaker A: Your parents want you to choose a practical field for family pride.
Speaker B: I know. The entrance exam alone is so much pressure.
Speaker A: True, but a good score means more opportunities. For everyone, really.
Speaker B: Yeah, more women are in my prep classes now too.","Speaker A: Do you think our kids will even get fair chances without top exam scores?
Speaker B: Exams decide everything now—good scores mean better jobs later.
Speaker A: Families push so hard, like it’s all about pride if you graduate.
Speaker B: True, but girls and boys both face the same pressure now.
Speaker A: At least private schools aren’t the only path anymore.
Speaker B: Still, parents expect us to pay for tutors, not just tuition.
"
"Speaker A: My cousin skipped university, and everyone just asked what makes him happy. Speaker B: Same here; families care more about balance than titles on a diploma. Speaker A: Still, my parents expect me to choose a program with real interest. Speaker B: And they trust public universities, but remind us to handle living costs. Speaker A: Grandma says education should fit your life, not consume your youth. Speaker B: Exactly; across households, the pressure is gentle, but independence is expected.
","Speaker A: My parents still think a master’s degree is the only path to a real career.
Speaker B: Mine too, but the pressure to finish quickly feels much heavier for our generation.
Speaker A: Exactly, they got state grants for years without these strict study progress requirements.
Speaker B: Now we worry about SU debt and finding internships before we even graduate.
Speaker A: It feels like a race to the labor market instead of actual deep learning.
Speaker B: True, the family expects high grades while the system demands we work part-time too.

","Speaker A: Did your parents expect you to attend university?
Speaker B: They encouraged it but never demanded specific grades.
Speaker A: My uncle became a baker without regret.
Speaker B: Vocational choices should carry the same prestige.
Speaker A: Yet social pressure pushes youth toward academic routes.
Speaker B: Personal happiness must guide educational decisions always.","Speaker A: The pressure to choose a university path so young feels immense.
Speaker B: Ja, but our parents just expected us to find a good trade.
Speaker A: Exactly. Now it's a master's degree, or you've somehow failed.
Speaker B: The hygge is lost. Too much focus on prestige and titles.
Speaker A: We value freedom, yet the system pushes everyone the same way.
Speaker B: Perhaps the next generation will find a better balance again.","Speaker A: Do you think parents still push kids toward university like before?
Speaker B: Absolutely—my cousin just switched to a trade school instead.
Speaker A: Really? Did her family take it hard?
Speaker B: At first, but now they see her thriving.
Speaker A: Maybe practical skills matter more now than degrees.
Speaker B: Or maybe we just value happiness over old expectations.
"
"Speaker A: I worry our kids feel pressured to choose a university path too early. Speaker B: True, but tuition is mostly covered; they still pay some costs themselves. Speaker A: And families expect them to be independent, not living on our money forever. Speaker B: At least daughters and sons apply in similar numbers now, which helps. Speaker A: Still, everyone talks like a degree is the only safe way into work. Speaker B: I just hope they study something meaningful, not only chasing status.
","Speaker A: Our son is so stressed about the entrance exams for the top medical program.
Speaker B: I know, but a degree is his best path toward stable, high-paying employment later.
Speaker A: True, though I'm glad the government fully funds tuition for all our public universities.
Speaker B: We still contribute plenty for his rent and food while he studies every night.
Speaker A: He feels the pressure of family pride, even if we tell him it is okay.
Speaker B: It is hard when most of his female classmates already seem to have spots secured.

","Speaker A: Our daughter is considering university for engineering studies.
Speaker B: The state covers tuition, so finances won't be an issue.
Speaker A: But will she find work after graduating?
Speaker B: Engineering graduates are in high demand locally.
Speaker A: I'm glad more women are entering the field.
Speaker B: Yes, it's becoming much more balanced now.","Speaker A: Did you hear Magnus is skipping university?
Speaker B: Really? I thought his parents expected it.
Speaker A: They do, but he says the entrance exam stress isn't worth it.
Speaker B: But without a degree, his job options shrink.
Speaker A: True, but the state funds it. The debt wouldn't be huge.
Speaker B: I suppose. Family pride shouldn't dictate his life.","Speaker A: Did you hear about Lars? He’s retaking the entrance exam next month.
Speaker B: Again? His parents must be worried—everyone expects him to follow his sister’s path.
Speaker A: It’s tough when the family’s pride is tied to those results.
Speaker B: True, but at least public universities here don’t cost a fortune.
Speaker A: Still, he’ll need to work weekends to cover books and living expenses.
Speaker B: Worth it if it means a stable job later, though.
"
"Speaker A: My niece studies late every night for that university entrance exam. Speaker B: Yeah, the public universities are funded, but the competition feels brutal. Speaker A: I notice more girls in her prep classes than boys lately. Speaker B: Same in my cousin’s department—women are everywhere, and it changes expectations. Speaker A: Families push students to pass the exam, even when stress takes over. Speaker B: They treat admission like a life milestone, not just education.
","Speaker A: I heard the government is finally increasing funding for our public universities this year.
Speaker B: That helps, but women still make up a much larger share of the students.
Speaker A: True, gender balance is shifting, yet that entrance exam remains a massive, stressful hurdle.
Speaker B: Passing that test is the only thing anyone talks about during senior year lately.
Speaker A: It feels like our society ignores everything except those standardized test scores and rankings.
Speaker B: At least the state covers the costs so students can focus entirely on studying.

","Speaker A: I'm concerned about the stress from entrance exams.
Speaker B: Public universities receive full government funding support.
Speaker A: More women are enrolling in degree programs now.
Speaker B: Families focus intensely on entrance exam preparation.
Speaker A: Gender participation rates have become much more balanced.
Speaker B: That single entrance exam decides university admission.","Speaker A: The entrance exam scores come out next week.
Speaker B: I’m worried. Fewer girls seem to apply to engineering.
Speaker A: Public universities are so cheap thanks to government funding.
Speaker B: That helps. But the pressure to choose a 'suitable' field is huge.
Speaker A: The distribution across majors feels unbalanced, doesn't it?
Speaker B: It does. Expectations about who studies what need to change.","Speaker A: Did you see the new university admission stats? More girls enrolled this year.
Speaker B: Yeah, the entrance exams must’ve been tough as always.
Speaker A: Public universities are still free, thankfully. That helps a lot.
Speaker B: True, but the pressure to get in is still insane.
Speaker A: Families push kids hard, but at least it’s fair for everyone.
Speaker B: Hope more spots open—everyone deserves a chance.
"
"Speaker A: Your aunt keeps asking when you’ll finish university and start helping the family. Speaker B: She thinks a degree proves you’re serious, not just for you but everyone. Speaker A: My parents sacrificed a lot; they expect good grades and respect for elders. Speaker B: Even cousins in other houses call, reminding me to study and stay focused. Speaker A: It feels like the whole extended family is watching every exam season. Speaker B: Yeah, higher education becomes a family project, not only a personal choice.
","Speaker A: Your father still insists that only a medical degree honors our family name.
Speaker B: He forgets that engineering requires the same discipline and brings equal community pride.
Speaker A: Our ancestors valued wisdom, but now elders only measure success by prestigious titles.
Speaker B: True, yet cousins feel crushed by expectations to support every relative after graduation.
Speaker A: We must balance modern career paths with the traditional duty of lifting our kin.
Speaker B: I will choose architecture, then prove my worth through the homes I build.

","Speaker A: Uncle insists all cousins must go to university.
Speaker B: But Grandma never went and still raised us well.
Speaker A: Now everyone expects a degree in medicine or engineering.
Speaker B: Why not honor farmers and artisans equally?
Speaker A: Deviating brings gossip and family disappointment.
Speaker B: Happiness matters more than societal approval.","Speaker A:
Finally, your sister is starting university.

Speaker B:
Yes, but only medicine will make the family proud.

Speaker A:
Our parents just wanted any degree. Now expectations have changed.

Speaker B:
True. Pressure feels heavier for her generation.

Speaker A:
We must support her own path, not just tradition.

Speaker B:
I hope she finds both success and happiness.","Speaker A: Our elders say education lifts the whole family’s name.
Speaker B: True, but now even good grades don’t guarantee jobs.
Speaker A: Still, parents sell land just to send children abroad.
Speaker B: What if those children forget their roots after studying?
Speaker A: They’ll return—no one escapes family expectations forever.
Speaker B: Maybe, but the pressure breaks more than it builds.
"
"Speaker A: My cousin wants university, but our family worries about the costs. Speaker B: Public universities help, yet students still pay for books and housing. Speaker A: Everyone talks about the entrance exam like it decides the whole future. Speaker B: Yes, one score can open doors to better jobs, especially in the city. Speaker A: I’m glad more girls are enrolling now, but relatives still push them harder. Speaker B: They want degrees to bring respect, not just learning.
","Speaker A: Our son must pass the entrance exam; the whole village expects this great honor.
Speaker B: True, but public university placement is competitive despite the government funding his tuition.
Speaker A: He needs that degree for a better job to support us in our old age.
Speaker B: I worry for our daughter; many families still prioritize the boys for higher schooling.
Speaker A: Times are changing, but we must still cover his food and dorm expenses myself.
Speaker B: It is a heavy burden, but his success will bring our family immense pride.

","Speaker A: I worry about your exam results next month.
Speaker B: If I pass, our family will finally be proud.
Speaker A: A degree means a good job at the ministry.
Speaker B: But girls face more hurdles to even apply.
Speaker A: The government pays for university if you score high.
Speaker B: Still, books and transport cost us so much.","Speaker A: Uncle says university is just for better jobs now.
Speaker B: True, but the family's pride matters too. The kuraz...
Speaker A: That exam! The whole village asks about your score.
Speaker B: And if it's a girl? Expectations are still different.
Speaker A: Yet, government schools are cheap. We're lucky for that.
Speaker B: But books and rent? A family sacrifice for one student.","Speaker A: Our eldest worked so hard—top marks in the exam!
Speaker B: Now the whole family can hold their heads high.
Speaker A: But tuition fees keep rising every year.
Speaker B: Public schools should help more, not just the rich.
Speaker A: What if our daughter wants medicine instead?
Speaker B: Then we’ll find a way—her future matters most.
"
"Speaker A: My sister’s class is packed, but my brother’s program barely has any women. Speaker B: Yeah, some majors still feel gendered, even though everyone can enroll. Speaker A: At least public universities are funded; tuition isn’t the biggest hurdle. Speaker B: The real stress is that national entrance exam deciding everything at eighteen. Speaker A: Parents push kids to study nonstop, because one score can shut doors. Speaker B: And if girls miss that chance, families judge them twice as harshly.
","Speaker A: I’m worried that most university spots seem to go to women these days.
Speaker B: True, but the government fully subsidizes every seat, so at least it's free.
Speaker A: It’s still brutal because that entrance exam determines a student's entire future.
Speaker B: My sister is studying constantly since the state pays for her degree.
Speaker A: The lopsided gender ratio in classes makes the campus social life feel very strange.
Speaker B: Passing the entrance exam is the only hurdle left for our younger cousin now.

","Speaker A: The entrance exam is crucial for university admission.
Speaker B: More women enroll in higher education each year.
Speaker A: Government funding sustains all public university systems.
Speaker B: Parents insist their children pass the entrance test.
Speaker A: Gender participation shows a significant shift lately.
Speaker B: The state fully funds all public universities.","Speaker A: Did you see the university admission stats? Way more women enrolling now.
Speaker B: Yeah, my sister’s applying. The pressure to pass that entrance exam is huge.
Speaker A: I heard public universities might get more government funding soon.
Speaker B: That could really change who can afford to attend, and when.
Speaker A: True. Expectations are shifting, not just about who goes anymore.
Speaker B: It feels like a big, slow change for families and society.","Speaker A: Why do you think so few girls apply for engineering programs now?
Speaker B: Maybe families don’t encourage them enough from the start.
Speaker A: Public universities are free, so cost shouldn’t be the issue.
Speaker B: True, but those entrance exams are brutal for everyone.
Speaker A: Still, more boys seem to push through them somehow.
Speaker B: Society just expects different things from each gender, sadly.
"
